id,timestamp,url,tweet,replies,retweets,quotes,likes
361388562,10/24/2007 22:45,https://twitter.com/JoeBiden/status/361388562,Tune in 11:30 ET tomorrow for a live webcast of Families USA Presidential Forum on health care: http://presidentialforums.health08.org/,19,5,17,11
543984392,12/29/2007 15:35,https://twitter.com/JoeBiden/status/543984392,"Iowans, there's a good chance there's a Biden near you today on a cool 14 F day: http://blog.joebiden.com/?p=1625",13,16,6,22
1.89287E+17,4/9/2012 9:42,https://twitter.com/JoeBiden/status/189287227321356289,We're excited to announce that @JoeBiden is being rebooted for the 2012 campaign season to give you news of the Vice President on the trail.,21,82,1,20
1.89287E+17,4/9/2012 9:43,https://twitter.com/JoeBiden/status/189287350034104320,"Campaign staff will run this account to keep you up to date on what the VP's up to, but you'll see occasional tweets from Joe himself, too.",144,76,37,51
1.8934E+17,4/9/2012 13:11,https://twitter.com/JoeBiden/status/189339650610036736,"News for you this morning: VP Biden will speak in Exeter, NH on 4/12 on tax fairness and the President’s support for the #BuffettRule.",10,54,0,5
1.89343E+17,4/9/2012 13:25,https://twitter.com/JoeBiden/status/189343279140184065,"In NH on 4/12, the Vice President will give his take on why millionaires shouldn’t pay a lower tax rate than middle class families do.",16,52,0,6
1.89383E+17,4/9/2012 16:05,https://twitter.com/JoeBiden/status/189383473717460992,I’m for the Buffett Rule because it just makes sense. Like the President says—it’s not class warfare. It’s math. -Joe,114,471,0,51
1.89456E+17,4/9/2012 20:55,https://twitter.com/JoeBiden/status/189456416917032960,"During a recent campaign stop in Ohio, VP Biden took an unexpected phone call. http://t.co/mI2osDxK",13,29,0,12
1.89712E+17,4/10/2012 13:51,https://twitter.com/JoeBiden/status/189712253187145728,"Favorite Joe photos, volume 1: http://t.co/Xt0pSrGc",21,217,1,137
1.89743E+17,4/10/2012 15:52,https://twitter.com/JoeBiden/status/189742771387637760,The VP will be speaking in NH on Thursday about the #BuffettRule. Here's what you need to know about it: http://t.co/sWu4EjD0,8,21,0,5
