,date,tweet,tweet_length,id,likes,retweets,sentiment,subjectivity
1131,9/11/2020,#NeverForget #September11 ,49,1.30437E+18,171628,38872,0,0
1132,9/11/2020,Congratulations to JPMorgan Chase for ordering everyone BACK TO OFFICE on September 21st. Will always be better than working from home!,135,1.30436E+18,158700,27114,0.208333333,0.166666667
1138,9/11/2020,"When we win I, as your President, will totally forgive ALL deferred payroll taxes with money from the General Fund.… ",140,1.30424E+18,160056,41452,0.283333333,0.55
1100,9/12/2020,"On my way, Nevada!",18,1.3049E+18,122280,15366,0,0
1106,9/12/2020,"All that time and money spent, and it turns out that the Mueller Investigation was a total SCAM!",96,1.30488E+18,150197,35190,-0.05,0.425
1111,9/12/2020,"Was Andy McCabe ever forced to pay back the $700,000 illegally given to him and his wife, for his wife’s political… ",139,1.30477E+18,134444,39186,-0.266666667,0.233333333
1113,9/12/2020,ALERT: So now we find out that the entire Mueller “hit squad” illegally wiped their phones clean just prior to the… ,139,1.30477E+18,159472,51976,-0.033333333,0.45625
1114,9/12/2020,Thank You Samantha. A Star Is Born!!! ,61,1.30461E+18,170558,47821,0,0
1073,9/13/2020,Just signed a new Executive Order to LOWER DRUG PRICES! My Most Favored Nation order will ensure that our Country g… ,140,1.30522E+18,177115,43213,0.490151515,0.618181818
1074,9/13/2020,Sleepy Joe Biden has spent 47 years in politics being terrible to Hispanics. Now he is relying on Castro lover Bern… ,140,1.30518E+18,135286,30973,-0.55,0.55
1083,9/13/2020,Animals that must be hit hard! ,54,1.30501E+18,156615,44195,-0.364583333,0.541666667
1089,9/13/2020,Just landed in Nevada but while on Air Force One watched most vicious TV commercial I have ever seen. Pathetic Joe’… ,140,1.30496E+18,145282,36357,-0.375,0.625
1029,9/14/2020,"“Players take knee, raise fist, stay in locker room, during National Anthem”. @FoxNews No thanks, tell them to “protest” some other time!",137,1.30562E+18,156300,30461,-0.128125,0.2875
1044,9/14/2020,"Great, Just Out! 51% Approval Rating in Rasmussen Poll. 95% in Republican Party. Stock Market up BIG today. Will I… ",139,1.30551E+18,135668,28766,0.5,0.425
1054,9/14/2020,I do! ,29,1.30549E+18,290349,59390,0,0
1008,9/15/2020,"Great to be back in Philadelphia. Thank you Pennsylvania, see you again soon! #MAGA ",107,1.30601E+18,194272,26471,0.4,0.375
1010,9/15/2020,"After decades of division and conflict, we mark the dawn of a new Middle East. Congratulations to the people of Isr… ",140,1.30598E+18,142714,40100,0.068181818,0.227272727
1024,9/15/2020,"Did you see where Joe Biden — as Weak, Tired, and Sleepy as he is, went to a Polling Place today in Delaware (of co… ",140,1.30569E+18,211647,51903,-0.3875,0.6625
999,9/16/2020,Vaccines are moving along fast and safely!,42,1.30623E+18,191906,25234,0.4125,0.55
1001,9/16/2020,"Great News: BIG TEN FOOTBALL IS BACK. All teams to participate. Thank you to the players, coaches, parents, and all… ",140,1.30622E+18,202379,32945,0.2,0.2125
1004,9/16/2020,What is this all about? ,47,1.30608E+18,149655,40187,0,0
974,9/17/2020,"I would like to extend best wishes and a very happy 70th birthday to the Prime Minister of India, @narendramodi. Ma… ",140,1.30669E+18,151042,26376,1,0.65
981,9/17/2020,"I am lowering, not raising, Medicare Premiums!",46,1.30666E+18,151059,32417,0,0
988,9/17/2020,"Democrats only want BAILOUT MONEY for Blue States that are doing badly. They don’t care about the people, never did!",116,1.30657E+18,145977,35034,-0.291666667,0.588888889
931,9/18/2020,Joe Biden says this is a race between Scranton and Park Avenue. This is a race between Scranton and China. Joe Bide… ,140,1.30709E+18,154355,38056,0,0
949,9/18/2020,"Voting starts in Virginia TODAY, and we are going to WIN. You have a crazy Governor who wants to take away your gun… ",140,1.30703E+18,145853,39587,0.133333333,0.466666667
954,9/18/2020,Pelosi wants to take 30 Billion Dollars away from our great Farmers. Can’t let that happen!,91,1.30695E+18,168704,36997,0.6,0.425
958,9/18/2020,"Never forget, they are coming after ME, because I am fighting for YOU! ",94,1.3068E+18,130508,31334,0,0
926,9/19/2020,Statement from the President on the Passing of Supreme Court Associate Justice Ruth Bader Ginsburg ,122,1.30715E+18,161540,35657,0,0
901,9/20/2020,"SAVE YOUR SECOND AMENDMENT, VOTE TRUMP!",39,1.30769E+18,313511,59898,0,0
906,9/20/2020,LAW &amp; ORDER!,16,1.30768E+18,207345,37730,0,0
917,9/20/2020,"VIRGINIA, and everywhere else for that matter, I am the only thing standing between you and your 2nd Amendment. If… ",139,1.30765E+18,137770,30744,0,0.5
919,9/20/2020,"THANK YOU NORTH CAROLINA!
",73,1.30749E+18,131243,28236,0,0
891,9/21/2020,I agree 100%. ,37,1.30815E+18,128067,28676,0,0
872,9/22/2020,"A few weeks ago, I BANNED efforts to indoctrinate government employees with divisive and harmful sex and race-based… ",140,1.30854E+18,159566,38545,-0.2,0.1
882,9/22/2020,"I will be announcing my Supreme Court Nominee on Saturday, at the White House! Exact time TBA.",94,1.3084E+18,278844,49327,0.125,0.125
861,9/23/2020,I hardly know Cindy McCain other than having put her on a Committee at her husband’s request. Joe Biden was John Mc… ,140,1.30873E+18,129938,27243,-0.208333333,0.458333333
865,9/23/2020,I did more in 47 months than Joe Biden did in 47 years! ,79,1.30858E+18,129172,27635,0.625,0.5
827,9/24/2020,Up BIG in South Carolina!,25,1.30925E+18,136876,19954,0,0.1
832,9/24/2020,"Thank you, I will never let you down! ",61,1.30918E+18,168288,50860,-0.194444444,0.288888889
834,9/24/2020,Russian Billionaire wired Hunter Biden 3 1/2 Million Dollars. This on top of all of the other money he received whi… ,140,1.30917E+18,160521,52590,0.125,0.291666667
835,9/24/2020,Sleepy Joe Biden just closed down his campaign for the day (Again). Wants to rest! He is a very LOW ENERGY INDIVIDU… ,140,1.30914E+18,161485,36749,-0.001388889,0.219722222
838,9/24/2020,Florida looking good!,21,1.30914E+18,164554,22685,0.875,0.6
839,9/24/2020,LAW &amp; ORDER!,16,1.30898E+18,238118,43363,0,0
840,9/24/2020,"Praying for the two police officers that were shot tonight in Louisville, Kentucky. The Federal Government stands b… ",140,1.30896E+18,189134,40838,0,0
817,9/25/2020,"Cheating on Unsolicited Ballots by political hacks, or anyone else, is against the law. We are closely watching!",112,1.30929E+18,129347,31122,0,0.1
796,9/26/2020,"The Obama Administration was not out to get the facts, they were out to “get Trump”. Ken Starr...And got caught red… ",140,1.30966E+18,175566,43058,0,0
778,9/27/2020,WATCH THE BALLOTS!!!,20,1.31022E+18,157396,33127,0,0
